epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2368.21,1.27836,0.60175,1.03264,0.97257,0.9675,0.98361,0.55214,1.35961,0.52793,0.93295,8.83e-05,8.83e-05,8.83e-05
41,2427.37,1.27121,0.59776,1.02998,0.96319,0.97385,0.98589,0.56427,1.33178,0.55903,0.91813,8.8e-05,8.8e-05,8.8e-05
42,2486.59,1.26631,0.59506,1.02794,0.9774,0.9654,0.98588,0.55933,1.35644,0.57818,0.92443,8.77e-05,8.77e-05,8.77e-05
43,2545.91,1.25336,0.58796,1.026,0.97705,0.97374,0.98792,0.55914,1.35735,0.63385,0.92621,8.74e-05,8.74e-05,8.74e-05
44,2605.03,1.2633,0.59564,1.02873,0.9806,0.97663,0.99024,0.56948,1.34427,0.51291,0.92026,8.71e-05,8.71e-05,8.71e-05
45,2664.27,1.25351,0.58664,1.01978,0.97839,0.9683,0.98682,0.56434,1.34763,1.06041,0.92358,8.68e-05,8.68e-05,8.68e-05
46,2723.43,1.27113,0.59492,1.03182,0.97723,0.98083,0.98788,0.57063,1.32422,0.50972,0.91697,8.65e-05,8.65e-05,8.65e-05
47,2782.59,1.24882,0.57758,1.01953,0.97157,0.98279,0.98683,0.57261,1.34353,0.56182,0.92099,8.62e-05,8.62e-05,8.62e-05
48,2841.8,1.24188,0.57913,1.01753,0.97879,0.96893,0.98675,0.57629,1.33096,0.50992,0.91552,8.59e-05,8.59e-05,8.59e-05
49,2901.06,1.24791,0.58066,1.0168,0.97419,0.97942,0.98737,0.56381,1.35518,0.55942,0.92704,8.56e-05,8.56e-05,8.56e-05
50,2960.17,1.23712,0.5729,1.01358,0.97357,0.98115,0.9888,0.58084,1.30816,0.63301,0.90701,8.53e-05,8.53e-05,8.53e-05
51,3019.46,1.23392,0.56567,1.0135,0.9808,0.97486,0.98893,0.58412,1.30495,1.24538,0.90646,8.5e-05,8.5e-05,8.5e-05
